Date,Open,High,Low,Close,Volume,OpenInt
2/25/2005,32.994,33.388,32.994,33.289,625774,0
2/28/2005,33.299,33.299,32.699,33.052,576995,0
3/1/2005,33.209,33.516,33.209,33.407,845445,0
3/2/2005,33.318,34.181,33.061,34.103,1320913,0
3/3/2005,34.103,34.428,33.975,34.044,896209,0
3/4/2005,34.122,34.418,33.946,34.279,886300,0
3/7/2005,34.408,34.537,34.054,34.221,1177616,0
3/8/2005,34.221,34.25,33.516,33.546,802456,0
3/9/2005,33.328,33.398,33.091,33.17,700320,0
3/10/2005,33.19,33.358,32.954,33.022,480955,0
3/11/2005,32.994,33.447,32.964,33.388,1235848,0
3/14/2005,33.378,33.388,32.482,32.56,2636489,0
3/15/2005,32.6,32.709,32.512,32.61,689037,0
3/16/2005,32.61,32.797,32.373,32.748,718462,0
3/17/2005,32.522,32.777,32.245,32.669,569524,0
3/18/2005,32.679,32.748,32.492,32.728,694831,0
3/21/2005,32.679,32.738,31.949,31.949,1081881,0
3/22/2005,31.979,32.896,31.979,32.186,1128070,0
3/23/2005,32.087,32.344,32.029,32.166,940264,0
3/24/2005,32.166,32.797,32.166,32.522,548029,0
3/28/2005,32.452,33.388,32.383,33.269,2305533,0
3/29/2005,33.209,33.209,32.719,32.797,1231731,0
3/30/2005,32.836,33.081,32.777,33.071,903220,0
3/31/2005,33.16,33.328,32.964,33.091,923342,0
4/1/2005,33.16,33.427,33.101,33.259,1090727,0
4/4/2005,33.338,33.721,33.209,33.662,665257,0
4/5/2005,33.662,34.024,33.652,33.946,482633,0
4/6/2005,33.946,34.181,33.622,33.622,847581,0
4/7/2005,33.652,33.721,33.388,33.662,510377,0
4/8/2005,33.721,33.761,33.308,33.388,211131,0
4/11/2005,33.417,33.536,33.358,33.457,363878,0
4/12/2005,33.447,34.014,33.19,33.819,560226,0
4/13/2005,33.731,33.898,33.091,33.16,687360,0
4/14/2005,33.279,33.457,32.58,32.639,727301,0
4/15/2005,32.738,32.797,32.049,32.107,1189506,0
4/18/2005,31.979,32.373,31.94,32.117,816784,0
4/19/2005,32.639,33.526,32.639,33.467,1847446,0
4/20/2005,33.556,33.556,32.994,33.032,919072,0
