Date,Open,High,Low,Close,Volume,OpenInt
2/25/2005,4.0719,4.0995,4.0328,4.0903,555532,0
2/28/2005,4.0926,4.1248,4.0144,4.0305,1227114,0
3/1/2005,4.0374,4.1548,4.0328,4.1478,918709,0
3/2/2005,4.1409,4.1845,4.1181,4.1661,675500,0
3/3/2005,4.1661,4.2951,4.1548,4.2951,1360132,0
3/4/2005,4.2951,4.3274,4.2628,4.2951,1432509,0
3/7/2005,4.2951,4.3641,4.2628,4.3341,644201,0
3/8/2005,4.3341,4.4032,4.3297,4.3732,1084973,0
3/9/2005,4.3711,4.3849,4.272,4.3042,2106045,0
3/10/2005,4.3042,4.3732,4.2951,4.2951,549662,0
3/11/2005,4.2951,4.3481,4.2789,4.3042,929141,0
3/14/2005,4.3134,4.4078,4.3134,4.3919,974777,0
3/15/2005,4.3961,4.4423,4.3961,4.4008,638986,0
3/16/2005,4.4032,4.4423,4.3618,4.4331,878936,0
3/17/2005,4.4239,4.4263,4.3802,4.4056,502060,0
3/18/2005,4.417,4.4239,4.318,4.3549,1408383,0
3/21/2005,4.3641,4.417,4.3364,4.3919,667021,0
3/22/2005,4.4008,4.4609,4.3711,4.4194,542493,0
3/23/2005,4.4122,4.4122,4.3687,4.3871,768083,0
3/24/2005,4.3871,4.4469,4.3871,4.3961,503370,0
3/28/2005,4.3961,4.4308,4.3318,4.3411,749836,0
3/29/2005,4.3435,4.4008,4.3435,4.3732,727007,0
3/30/2005,4.3871,4.4699,4.3871,4.4699,597258,0
3/31/2005,4.463,4.4677,4.4032,4.4285,508588,0
4/1/2005,4.4263,4.4745,4.3618,4.3687,837209,0
4/4/2005,4.3711,4.4008,4.2859,4.3871,479884,0
4/5/2005,4.3778,4.4285,4.3778,4.4101,584868,0
4/6/2005,4.4194,4.4653,4.3941,4.3941,456420,0
4/7/2005,4.3941,4.463,4.3226,4.4331,829381,0
4/8/2005,4.4354,4.4814,4.4239,4.4492,755046,0
4/11/2005,4.4792,4.5088,4.4538,4.5045,1095402,0
4/12/2005,4.5045,4.6076,4.4331,4.601,920671,0
4/13/2005,4.5941,4.5941,4.4331,4.4561,1105184,0
4/14/2005,4.4653,4.5388,4.4514,4.5251,1194504,0
4/15/2005,4.7231,4.7231,4.3919,4.4445,2074101,0
4/18/2005,4.4469,4.5022,4.2951,4.3203,2405974,0
4/19/2005,4.3318,4.7597,4.3318,4.732,4015837,0
4/20/2005,4.7419,4.8243,4.6122,4.631,2435321,0
4/21/2005,4.667,4.8243,4.667,4.7548,1566172,0
4/22/2005,4.7572,4.769,4.4745,4.4998,1882405,0
4/25/2005,4.5388,4.6122,4.5367,4.5643,1029545,0
4/26/2005,4.5553,4.5553,4.3571,4.3594,1560302,0
4/27/2005,4.3502,4.4699,4.3457,4.4399,1566172,0
4/28/2005,4.4399,4.4399,4.3364,4.3388,710712,0
4/29/2005,4.3687,4.4008,4.2904,4.3711,904367,0
5/2/2005,4.3778,4.4217,4.3778,4.4008,430998,0
5/3/2005,4.4008,4.4469,4.3711,4.3711,747876,0
5/4/2005,4.3711,4.4975,4.3711,4.4906,615511,0
